,subject,predicate,object,negated,source_quote
386,John Doe,has,A Joint Trust Account with John wife and Jane two children named as beneficiaries – Account Title “John & Jane Do e POD Mary & David Doe ”,FALSE,3. A Joint Trust Account with John wife and Jane two children named as beneficiaries – Account Title “John & Jane Do e POD Mary & David Doe ”
387,John Doe,is identified by,CS_Unique_ID 111111111,FALSE,CS_Unique_ID CS_First_Name CS_Last_Name 111111111 John Doe
388,Jane Doe,is identified by,CS_Unique_ID 222222222,FALSE,222222222 Jane DoeCustomer File
389,John Doe,has,Account Identifier 0000000000001,FALSE,111111111 SGL 0000000000001
390,John Doe,has,Account Identifier 0000000000002,FALSE,111111111 JNT 0000000000002
391,Jane Doe,has,Account Identifier 0000000000002,FALSE,222222222 JNT 0000000000002
392,John Doe,has,Account Identifier 0000000000003,FALSE,111111111 TST 0000000000003
393,Jane Doe,has,Account Identifier 0000000000003,FALSE,222222222 TST 0000000000003
394,Mary Doe,is a participant in,Account Identifier 0000000000003,FALSE,111111111 0000000000003 TST 333333333 Mary Doe
395,David Doe,is a participant in,Account Identifier 0000000000003,FALSE,111111111 0000000000003 TST P444444 David Doe
396,account,has,multiple owners,FALSE,"In the case of an account with multiple owners, there should be one customer record with a CS_Unique_ID for each account holder."
397,JNT account,is owned by,Harry and Joan Smith,FALSE,"For example, a JNT account owned by Harry and Joan Smith would result in the creation of two customer records and two CS_Unique_IDs on the Customer File."
398,Customer File,should be populated for,each of the account’s beneficial owners,FALSE,"In the case of Pass-Through Accounts, the Customer File should be populated for each of the account’s beneficial owners as information about the beneficial owner is obtained."
399,each beneficial owner,should receive,CI own CS_Unique_ID,FALSE,Each beneficial owner should receive CI own CS_Unique_ID.
400,beneficial owner,is already a customer of,the CI,FALSE,"In cases where a beneficial owner is already a customer of the CI, the CI should match the customer to CI existing CS_Unique_ID."
401,CS_Security_Pledge_Flag,only applies to,government accounts,FALSE,The CS_Security_Pledge_Flag only applies to government accounts and should not be populated for other customer types.
402,Official Custodians,are in fact,Official,FALSE,The CI should undertake every effort to confirm that Official Custodians are in fact Official.
403,account holder,should be populated for,"each account in the JNT, EBP, DIT, ANC, TST, and GOV ORCs",FALSE,"A separate row should be populated for each account holder of an account in the JNT, EBP, DIT, ANC, TST, and GOV ORCs."
404,CI,should populate,one row in the Account File for each beneficial owner and an additional record for the fiduciary’s account,FALSE,a CI should populate one row in the Account File for each beneficial owner and an additional record for the fiduciary’s account at the CI.
405,"DP_Prepaid_Account_Flag, DP_PT_Account_Flag, and DP_PT_Trans_Flag",should be populated in accordance with,the definitions in Part 370,FALSE,"The DP_Prepaid_Account_Flag, DP_PT_Account_Flag, and the DP_PT_Trans_Flag should be populated in accordance with the definitions in Part 370."
406,credit card accounts,have,"a credit balance, thus creating a deposit liability",FALSE,"In situations where credit card accounts have a credit balance, thus creating a deposit liability."
407,NULL value,should be used in,the DP_Prod_Cat field,FALSE,use a NULL value in the DP_Prod_Cat field.
408,depository institutions,pledge,collateral as security for Government deposits,FALSE,"In certain instances, depository institutions pledge collateral as security for Government deposits."
409,institution,has pledged,securities for a Government account,FALSE,"If the institution has pledged securities for a Government account, the CS_Security_Pledge_Flag field should be set to Y;"
410,no pledged securities,set,the field to N,FALSE,"if no pledged securities, set the field to N."
411,collateral,will be used to cover,the uninsured portion of the balance,FALSE,the collateral will be used to cover the uninsured portion of the balance.
412,CS_Unique_ID,is populated for,each account holder,FALSE,One CS_Unique_ID is populated for each account holder.
413,"JNT, EBP, DIT, ANC, TST, and GOV accounts",may have,multiple rows populated with a CS_Unique_ID for each DP_Acct_Identifier,FALSE,"In the case of JNT, EBP, DIT, ANC, TST, and GOV accounts, there may be multiple rows populated with a CS_Unique_ID for each DP_Acct_Identifier."
414,DP_Acct_Identifier,is populated for,each account,FALSE,One DP_Acct_Identifier is populated for each account.
415,"JNT, EBP, DIT, ANC, TST, and GOV accounts",may have,multiple rows populated with the same DP_Acct_Identifier,FALSE,"In the case of JNT, EBP, DIT, ANC, TST, and GOV accounts, there may be multiple rows populated with the same DP_Acct_Identifier."
416,DP_Allocated_Amt,is populated with,the Current Account Balance for the Account associated with the Account Identifier,FALSE,DP_Allocated_Amt  DP_Allocated_Amt is populated with the Current Account Balance for the Account associated with the Account Identifier.
417,DP_Allocated_Amt,is populated with,the current account balance allocated to the account holder identified in the CS_Unique_ID Field for the row,FALSE,"In the case of JNT, EBP,  DIT, ANC, TST, and GOV accounts, the DP_Allocated_Amt is populated with the current account balance allocated to the account holder identified in the CS_Unique_ID Field for the row."
418,DP_Acc_Int,is populated with,interest that is earned but not yet paid for the account specified in the DP_Acct_Identifier,FALSE,DP_Acc_Int  DP_Acc_Int is populated with interest that is earned but not yet paid for the account specified in the DP_Acct_Identifier.
419,DP_Acc_Int,is populated with,the interest that is earned but not yet paid that is allocated to the account holder identified in the CS_Unique_ID Field for the row,FALSE,"In the case of JNT, EBP, DIT, ANC , TST, and GOV accounts, the DP_Acc_Int is populated with the interest that is earned but not yet paid that is allocated to the account holder identified in the CS_Unique_ID Field for the row."
420,DP_Hold_Amount,is populated with,the account balance subject to a hold for the account specified in the DP_Acct_Identifier,FALSE,DP_Hold_Amount  DP_Hold_Amount is populated with the account balance subject to a hold for the account specified in the DP_Acct_Identifier.
421,DP_Hold_Amount,is populated with,the amount subject to a hold that is allocated to the account holder identified in the CS_Unique_ID Field for the row,FALSE,the DP_Hold_Amount is populated with the amount subject to a hold that is allocated to the account holder identified in the CS_Unique_ID Field for the row.
422,DP_Hold_Amount,should reflect,the aggregate impact of all existing bank holds,FALSE,The DP_Hold_Amount should reflect the aggregate impact of all existing bank holds.
423,FDIC-directed access restrictions,are removed,once the insurance determination is complete,FALSE,"Once the insurance determination is complete, the FDIC-directed access restrictions are removed."
424,All existing bank holds and FDIC holds,should remain,until released as per existing bank policy or as directed by the FDIC,FALSE,All existing bank holds and FDIC holds should remain until released as per existing bank policy or as directed by the FDIC.
425,holds,reduce,the available balance in the relevant account,FALSE,"holds reduce the available balance in the relevant account and should be reported in the Account File or Pending File, as applicable..."
426,Harry Smith,is a beneficiary of,John Smith,FALSE,a TST account held by Harry and Joan Smith with John Smith as a beneficiary
427,Joan Smith,is a beneficiary of,John Smith,FALSE,a TST account held by Harry and Joan Smith with John Smith as a beneficiary
428,AP_Participant_ID,is populated for,each account participant of the account specified in the DP_Acct_Identifier Field,FALSE,One AP_Participant_ID is populated for each account participant of the account specified in the DP_Acct_Identifier Field.
429,AP_Participant_ID,can be repeated if,the account has multiple owners or if the Account Participant is a participant/beneficiary of multiple accounts,FALSE,The AP_Participant_ID can be repeated if the account has multiple owners or if the Account Participant is a participant/beneficiary of multiple accounts.
430,each account participant that is also a Customer of the CI,should have the same,AP_Participant_ID as Customer CS_Unique_ID at the CI,FALSE,Each account participant that is also a Customer of the CI should have the same AP_Participant_ID as Customer CS_Unique_ID at the CI.
431,Pending File,could be populated with,any ORC,FALSE,A Pending File could be populated with any ORC.
432,CI,should populate,one row in the Pending File for each beneficial owner of the applicable account types,FALSE,a CI should populate one row in the Pending File for each beneficial owner of the applicable account types.
433,mailing address,should be used for,lines 18 through 24 on the Pending File,FALSE,The mailing address should be used for lines 18 through 24 on the Pending File.
434,FDIC,may need to contact or deliver items to,account holders by mail,FALSE,The FDIC may need to contact or deliver items to account holders by mail.
435,Account File’s insured and uninsured amounts,should reflect,the maximum total insured amounts in accordance with the new final 12 CFR Part 330 rule,FALSE,"The Account File’s insured and uninsured amounts should reflect the maximum total insured amounts in accordance with the new final 12 CFR Part 330 rule, when applicable."
436,Participant File,should list,all unique eligible beneficiaries,FALSE,The Participant File should list all unique eligible beneficiaries.
437,grantor’s balance,should be evenly allocated across,all eligible unique beneficiaries in the Participant File field #5 AP_Allocated_Amount,FALSE,The grantor’s balance should be evenly allocated across all eligible unique beneficiaries in the Participant File field #5 AP_Allocated_Amount.
438,DP_Right_Capacity,should populate with,a null value,FALSE,"Pass-through accounts, such as sweep accounts or brokered deposits, should populate the DP_Right_Capacity with a null value until the underlying beneficial owner information has been gathered and processed."
439,DP_Acc_Int,is populated with,interest that is earned but not yet paid,FALSE,DP_Acc_Int is populated with interest that is earned but not yet paid for the account specified in the DP_Acct_Identifier.
440,CS_Security_Pledge_Flag,is populated for,GOV accounts,FALSE,The CS_Security_Pledge_Flag is only populated for GOV accounts
441,government entity,has,outstanding security pledge with the CI,FALSE,is populated when the government entity has an outstanding security pledge with the CI
442,CS_Security_Pledge_Flag field,should be set to,Y,FALSE,the CS_Security_Pledge_Flag field should be set to Y
443,no pledged securities,set the field to,N,FALSE,"if no pledged securities, set the field to N"
444,FDIC,expects,a CI’s total deposits can be ascertained by aggregating the deposits reported in Table 1 with the deposits reported in Table 2 or Table 3,FALSE,The FDIC expects a CI’s total deposits can be ascertained by aggregating the deposits reported in Table 1 with the deposits reported in Table 2 or Table 3.
445,Output Files,will include,the data necessary for the FDIC to determine the deposit insurance coverage in a resolution,FALSE,The Output Files will include the data necessary for the FDIC to determine the deposit insurance coverage in a resolution.
446,a CI’s IT system,must have,the capability to prepare and maintain the files detailed below,FALSE,A CI’s IT system must have the capability to prepare and maintain the files detailed below.
447,customer,has outstanding debt with,covered institution,FALSE,This field indicates whether the customer has an outstanding debt with the covered institution.
448,government entity,has outstanding security pledge with,covered institutions,FALSE,Enter “Y” if the government entity has an outstanding security pledge with covered institutions.
449,Account File,contains,"deposit ownership rights and capacities information, allocated balances, insured amounts, and uninsured amounts",FALSE,"The Account File contains the deposit ownership rights and capacities information, allocated balances, insured amounts, and uninsured amounts."
450,balances,are in,U.S. dollars,FALSE,The balances are in U.S. dollars.
451,Account File,is linked to,Customer File,FALSE,The Account File is linked to the Customer File by the CS_Unique_ID.
452,CS_Unique_ID,is,the unique identifier that is the primary key for the depositor data record,FALSE,This field is the unique identifier that is the primary key for the depositor data record.
453,depositor,will be generated by,the covered institution,FALSE,depositor will be generated by the covered institution.
454,DP_Acct_Identifier,is,the primary field used to identify a deposit account,FALSE,The primary field used to identify a deposit account.
455,account identifier,may be composed of,more than one physical data element to uniquely identify a deposit account,FALSE,The account identifier may be composed of more than one physical data element to uniquely identify a deposit account.
456,DP_Right_Capacity,is,Account ownership categories,FALSE,Account ownership categories.
457,credit card accounts,create,a deposit liability,FALSE,"For credit card accounts with a credit balance that create a deposit liability, use a NULL value for this field."
458,current balance in the account,is allocated to,a specific owner in that insurance category,FALSE,The current balance in the account at the end of business on the effective date of the file is allocated to a specific owner in that insurance category.
459,allocated amount,represents,the allocated amount to each co-owner in the JNT category,FALSE,"For JNT accounts, this is a calculated field that represents the allocated amount to each co-owner in the JNT category."
460,allocated amount,represents,the allocated amount to each owner-beneficiary in the TST category,FALSE,"For TST accounts, this is a calculated field that represents the allocated amount to each owner-beneficiary (relationship) in the TST category."
461,account,has,one account holder,FALSE,"For other accounts with only one account holder, this is the account's current balance."
462,DP_Prepaid_Account_Flag,indicates,prepaid account,FALSE,"This field indicates a prepaid account . Enter “Y” if an account is a prepaid account with covered institutions, enter “N” otherwise."
463,DP_PT_Account_Flag,indicates,pass-through account,FALSE,This field indicates a pass -through account . Enter “Y” if an account is a pass -through with
464,account,is,pass-through,FALSE,"Enter “Y” if an account is a pass -through with covered institutions, enter “N” otherwise."
465,fiduciary account,has,sub-accounts that have transactional features,FALSE,This field indicates whether the fiduciary account has sub- accounts that have transactional features.
466,Account Participant File,will be used by,FDIC,FALSE,The Account Participant File will be used by the FDIC to identify account participants.
467,Account Participant File,is linked to,Account File,FALSE,The Account Participant File is linked to the Account File by CS_Unique_ID and DP_Acct_Identifier.
468,account identifier,may be composed of,more than one physical data element,FALSE,The account identifier may be composed of more than one physical data element to uniquely identify a deposit account.
469,The Account File,should reflect,the maximum total insured amounts in accordance with the new final 12 CFR Part 330 rule,FALSE,"The Account File’s insured and uninsured amounts should reflect the maximum total insured amounts in accordance with the new final 12 CFR Part 330 rule, when applicable."
470,The Participant File,should list,all unique eligible beneficiaries,FALSE,The Participant File should list all unique eligible beneficiaries.
471,The grantor’s balance,should be evenly allocated across,all eligible unique beneficiaries in the Participant File field #5 AP_Allocated_Amount,FALSE,The grantor’s balance should be evenly allocated across all eligible unique beneficiaries in the Participant File field #5 AP_Allocated_Amount.
472,The valid Account Participant identification types,are,"SSN, TIN, DL, ML, PPT, AID, OTH",FALSE,"The valid Account Participant identification types are: - SSN - Social Security Number - TIN - Tax Identification Number - DL - Driver’s License, issued by the State or Territory of the United States - ML - Military ID - PPT - Valid Passport - AID - Alien Identification Card - OTH - Other"
473,Account Participant’s first name,is used only for,the name of individuals and the primary contact for the entity,FALSE,Account Participant ’s first name. Use only for the name of individuals and the primary contact for the entity.
474,Account Participant’s middle name,is used only for,the name of individuals and the primary contact,FALSE,Account Participant ’s middle name. Use only for the name of individuals and the primary contact.
475,Account Participant,has middle name,AP_Middle_Name,FALSE,Account Participant ’s middle name.
476,Account Participant,has last name,AP_Last_Name,FALSE,Account Participant ’s last name.
477,Account Participant,has type identifier,AP_Participant_Type,FALSE,This field is used as the Account Participant type identifier.
478,FDIC,needs,codes,FALSE,The FDIC needs these codes to initiate the collection of needed information.
479,DP_Right_Capacity,describes,Account ownership categories,FALSE,DP_Right_Capacity  Account ownership categories.
480,SGL,is a type of,Single accounts,FALSE,#NAME?
481,JNT,is a type of,Joint accounts,FALSE,#NAME?
482,TST,is a type of,Trust accounts,FALSE,#NAME?
483,CRA,is a type of,Certain retirement accounts,FALSE,#NAME?
484,EBP,is a type of,Employee benefit plan accounts,FALSE,#NAME?
485,BUS,is a type of,Business/Organization accounts,FALSE,#NAME?
486,"GOV1, GOV2, GOV3",is a type of,Government accounts (public unit accounts),FALSE,#VALUE!
487,MSA,is a type of,Mortgage servicing accounts for principal and interest payments,FALSE,#NAME?
488,DIT,is a type of,Accounts held by a depository institution as the trustee of an irrevocable trust,FALSE,#NAME?
489,ANC,is a type of,Annuity contract accounts,FALSE,#NAME?
490,PBA,is a type of,Public bond accounts,FALSE,#NAME?
491,BIA,is a type of,Custodian accounts for American Indians,FALSE,#NAME?
492,DOE,is a type of,Accounts of an IDI pursuant,FALSE,#NAME?
493,customer,has,outstanding debt,FALSE,This field indicates whether the customer has an outstanding debt.
494,customer,has outstanding debt,covered institutions,FALSE,"Enter “Y” if the customer has an outstanding debt with covered institutions, enter “N” otherwise."
495,government entity,has outstanding security pledge,covered institutions,FALSE,"Enter “Y” if the government entity has an outstanding security pledge with covered institutions, enter “N” otherwise."
496,account,is a pass-through,covered institutions,FALSE,"Enter “Y” if the account is a pass-through with covered institutions, enter “N” otherwise."
497,City Address,appears on,credProvince,FALSE,City Address city as Province appears on the credProvince
498,State,appears on,credCountry,FALSE,State State postal abbreviation as Country appears on the credCountry
499,Province,appears on,credit,FALSE,Province as Y appears on the credit
500,IRA Code,is,Not applicable,FALSE,IRA Code Not applicable.
501,CI,fails,FDIC uses CI’s IT system to calculate deposit insurance,FALSE,"should the CI fail. In the event of t CI CI’s failure, the FDIC would use the CI ’s IT system to calculate the amount of deposit insurance available"
502,Part 370,recognizes,an insured depository institution may not be required to maintain all information needed by the FDIC,FALSE,Part 370 recognizes that a n insured depository institution may not be required to maintain all of the information needed by the FDIC
503,CIs,are permitted,to maintain less information in their deposit account records for certain types of deposit accounts,FALSE,"CIs are permitted, under Section 370.4(b)  (“alternative recordkeeping requirements”), to maintain less information in their deposit account records for certain types of deposit accounts"
504,CI,must maintain,certain information in CI deposit account records,FALSE,the CI must maintain in CI deposit account records certain information
505,alternative recordkeeping requirements,apply to,certain deposit accounts that would be insured on a ‘pass-through’ basis,FALSE,"These alternative recordkeeping requirements apply to, among other things, certain deposit accounts that would be insured on a ‘pass-through’ basis"
506,alternative recordkeeping requirements,apply to,certain deposit accounts for which the amount of insurance is dependent on additional facts,FALSE,"These alternative recordkeeping requirements apply to, among other things, certain deposit accounts for which the amount of insurance is dependent on additional facts"
507,Compliance with the recommended practices and standards,is,voluntary,FALSE,Compliance with the recommended practices and standards set forth in this Addendum is voluntary
508,FDIC,has an established process for,collecting such information,FALSE,The FDIC has an established process for collecting such information in the event of such an institution’s failure
509,this DPBG,supplies,a file format and process for submitting the information and supporting documentation,FALSE,This DPBG supplies a file format and process for submitting the information and supporting documentation necessary for the FDIC to receive and process the information
510,FDIC,to make,insured funds available to depositors in a timely manner,FALSE,to properly perform FDIC responsibilities to make insured funds available to depositors in a timely manner.
511,the same process,may also be used to collect,information from account holders other than deposit brokers,FALSE,The same process may also be used to collect information from account holders other than deposit brokers
512,deposit accounts insured on a pass-through basis,would likely result in,substantial delays in the deposit insurance determination and the availability of insured funds,FALSE,performing these processes manually for a large number of deposit accounts insured on a pass-through basis would likely result in substantial delays in the deposit insurance determination and the availability of insured funds.
513,o,accepts,electronic submission of declarations and attachments by beneficial owners,FALSE,"o accepts electronic submission of declarations and attachments by beneficial owners, when required under the current DBPG;"
514,o,anticipates,submission of the file through a secure platform on the CI’s system which validates the identity of the user,FALSE,o anticipates submission of the file through a secure platform on the CI’s system which validates the identity of the user.
515,Account holders of deposit accounts,may continue to submit,information using the existing file format and process defined in the current DBPG,FALSE,"Account holders of deposit accounts entitled to pass-through deposit insurance coverage may continue to submit to the FDIC, must the CI fail, information using the existing file format and process defined in the current DBPG."
516,this,may result in,a lengthier deposit insurance determination time for these accounts due to the manual nature of the processing described therein,FALSE,This may result in a lengthier deposit insurance determination time for these accounts due to the manual nature of the processing described therein.
517,CIs and account holders,may use,the file format and processes described in this addendum,FALSE,CIs and account holders may use the file format and processes described in this addendum and:
518,CIs and account holders,must correctly assign and record,the appropriate Ownership Right and Capacity (“ORC”) for each beneficial interest in the account(s) held at the CI,FALSE,Correctly assign and record (in advance) the appropriate Ownership Right and Capacity (“ORC”) for each beneficial interest in the account(s) held at the CI;
519,CIs and account holders,must identify,all sub-accounts that have transactional features as described in 12 CFR § 370.2,FALSE,Identify all sub-accounts that have transactional features as described in 12 CFR § 370.2;
520,Brokers and other account holders,can expect,a promptly completed deposit insurance determination and availability of insured deposits,FALSE,Brokers and other account holders that choose to submit accurate and complete alternative recordkeeping data utilizing the file format and processes described herein can expect a promptly completed deposit insurance determination and availability of insured deposits.
521,CIs,may also implement,any alternative approach meeting requirements of Part 370,FALSE,CIs may also implement any alternative approach meeting requirements of Part 370 that the information needed to calculate deposit insurance coverage will be submitted to the FDIC so that deposit insurance can be determined within twenty-four (24) hours after the appointment of the FDIC as the receiver.
522,account holders of deposit accounts entitled to pass-through deposit insurance coverage,are expected,to receive deposit insurance coverage in the event of a CI’s failure,FALSE,"In the event of a CI’s failure, account holders of deposit accounts entitled to pass-through deposit insurance coverage are expected."
523,FDIC,has determined,deposit insurance for brokered deposits,FALSE,The FDIC has historically determined deposit insurance for brokered deposits using the procedures set forth in the FDIC’s Deposit Broker’s Processing Guide.
524,Alternative Recordkeeping Entities,who wish to take advantage of,an expedited deposit insurance calculation process,FALSE,Alternative Recordkeeping Entities (including brokered and other accounts eligible for pass through deposit insurance) who wish to take advantage of an expedited deposit insurance calculation process may choose to submit accurate and complete alternative recordkeeping data utilizing the file format and processes described in the Addendum.
525,file format and processes described in the Addendum,can be utilized to process,the full spectrum of accounts that qualify for alternative recordkeeping,FALSE,The file format and processes described in the Addendum can be utilized to process the full spectrum of accounts that qualify for alternative recordkeeping as described by 12 CFR § 370.4(b).
526,Addendum,can be utilized to process,the full spectrum of accounts that qualify for alternative recordkeeping,FALSE,Addendum can be utilized to process the full spectrum of accounts that qualify for alternative recordkeeping as described by 12 CFR § 370.4(b)
527,CI,failed,Time Period 1,FALSE,"At the beginning of Time Period 1, the CI failed."
528,CI’s system,processes,all of Alternative deposit accounts,FALSE,the CI’s system processes all of Alternative deposit accounts through its
529,CI,processes,all of CI deposPending account s through Alternative insurance determination engine,FALSE,the CI’s system processes all of CI deposPending account s through Alternative insurance determination engine
530,CI’s system,will have generated,a Pending output file record for each ARE deposit account balance,FALSE,the CI’s system will have generated a Pending output file record for each ARE deposit account balance
531,CI,fails,"the total current balance of the above six accounts is $2,520,000",FALSE,"When the CI fails, the total current balance of the above six accounts is $2,520,000"
532,Customer output file,contains,one record for each unique depositor known to the CI,FALSE,The Customer output file contains one record for each unique depositor known to the CI
533,this universe,consists of,"all account owners who have made direct deposits at the CI, as well as the AREs who have made deposits on behalf of third parties",FALSE,"this universe consists of all account owners who have made direct deposits at the CI, as well as the AREs who have made deposits on behalf of third parties"
534,Anytown Broker,is shown as,business customer,FALSE,A. Anytown Broker is shown as a business (“BUS”) customer.
535,Marci Jones,is shown as,individual customer,FALSE,B. Marci Jones is shown as an individual (“IND”) customer.
536,XYZ Corporation,is shown as,business customer,FALSE,C. XYZ Corporation is shown as a business (“BUS”) customer.
537,Marci Jones,has accounts at the CI for which an insurance determination can be made,three single accounts,FALSE,Marci Jones has three single accounts at the CI for which an insurance determination can be made.
538,XYZ Corporation,has accounts at the CI for which insurance determinations can be made,two business accounts,FALSE,XYZ Corporation has two business accounts at the CI for which insurance determinations can be made.
539,Records in the Account Participant output file,are linked to,those in the Customer output file,FALSE,Records in the Account Participant output file are linked to those in the Customer output file by the common “CS_Unique_ID” field
540,Records in the Account output file,are linked to,those in the Pending output file,FALSE,those in the Account and Pending output files by the common “CS_Unique_ID” and “DP_Acct_Identifier” fields
541,The Pending output file,only contains records of,deposit balances for which an insurance determination has not yet been completed,FALSE,The Pending output file only contains records of deposit balances for which an insurance determination has not yet been completed
542,A “Pending_Reason” code,will be associated with,each Pending output file record,FALSE,A “Pending_Reason” code will be associated with each Pending output file record
543,each record’s “PT_Parent_Customer_ID” field,will be populated with,the unique identifier of the parent customer ID,FALSE,each record’s “PT_Parent_Customer_ID” field will be populated with the unique identifier of the parent customer ID
544,Records in the Pending output file,are linked to,those in the Customer output file,FALSE,Records in the Pending output file are linked to those in the Customer output file by the common “CS_Unique_ID” field
545,Records in the Pending output file,are linked to,those in the Account and Account Participant output files,FALSE,Records in the Pending output file are linked to those in the Account and Account Participant output files by the common “CS_Unique_ID” and “DP_Acct_Identifier” fields
546,Anytown Broker's account,appears in,the Pending output file,FALSE,Anytown Broker's account appears in the Pending output file while awaiting additional information from this ARE.
547,the total 'DP_Cur_Bal' in the Pending output file,should match,the total 'Principal' in the ARE submission file,FALSE,"If the ARE has provided information on all of Y pass - through accounts, the total 'DP_Cur_Bal' in the Pending output file should match the total 'Principal' in the ARE submission file."
548,Anytown Broker,initially submitted,partial information on Anytown pass-through account owners,FALSE,Anytown Broker initially submAnytown only partial information on Anytown pass -through account o wners.
549,Anytown Broker,provides,sufficient information to make an insurance determination on the SGL and BUS pass-through accounts,FALSE,Anytown Broker provides sufficient information to make an insurance determination on the S GL and B US pass- through accounts.
550,B. Marci Jones,is,an existing customer at the CI,FALSE,B. Marci Jones is an existing customer at the CI.
551,B. Marci Jones,has,another SGL pass-through account at Anytown Broker,FALSE,"B. Marci Jones is an existing customer at the CI, and also has another SGL pass- through account at Anytown Broker."
552,Marci Jones,is an existing customer at,CI,FALSE,Marci Jones is an existing customer at the CI
553,Marci Jones,has another SGL pass-through account at,Anytown Broker,FALSE,also has another SGL pass- through account at Anytown Broker
554,XYZ Corporation,is an existing customer at,CI,FALSE,"XYZ Corporation, an existing customer at the CI"
555,XYZ Corporation,has another B US pass-through account at,Anytown Broker,FALSE,also has another B US pass- through account at Anytown Broker
556,Anywhere City,has one G OV1 account at,Anytown Broker,FALSE,has one G OV1 account at Anytown Broker
557,John Smith,has one TST account at,Anytown Broker,FALSE,has one TST account at Anytown Broker
558,Anytown Broker,is,an existing customer at the CI,FALSE,A. Anytown Broker is an existing customer at the CI.
559,Anytown Broker,is,existing customer at the CI,FALSE,Anytown Broker is an existing customer at the CI.
560,Marci Jones,is,existing customer at the CI,FALSE,Marci Jones is an existing customer at the CI.
561,XYZ Corporation,is,existing customer at the CI,FALSE,XYZ Corporation is an existing customer at the CI.
562,Account output file,will be populated with,one record for each 'DP_Acct_Identifier' and 'DP_Right_Capacity' combination of a unique account owner,FALSE,"the Account output file will be populated with one record for each 'DP_Acct_Identifier' and 'DP_Right_Capacity' combination of a unique account owner, updated with the new insurance determination results."
563,Deposits,will appear in,the Account output file,FALSE,Only deposits for which insurance determinations have been completed will appear in the Account output file.
564,insurance determinations,have been made for,any partial amounts of an ARE deposit,FALSE,"If insurance determinations have been made for any partial amounts of an ARE deposit, a record for the aggregate total of those partial amounts will appear in the Account output file records, but without a 'DP_Right_Capacity' designation."
565,insurance calculation,is completed for,Marci Jones's brokered account deposit,FALSE,"An insurance calculation is completed for Marci Jones's brokered account deposit, and C. is added to the Account output file."
566,insurance calculation,is completed for,XYZ Corporation's brokered account deposit,FALSE,"An insurance calculation is completed for XYZ Corporation's brokered account deposit, and Marci is added to the Account output file."
567,A record,is created in,the Account output file,FALSE,"A record is created in the Account output file, representing the aggregate total of the ARE's account for which an insurance determination has been completed."
568,this record,will be entered WITHOUT,'DP_Right_Capacity',FALSE,This record will be entered WITHOUT a 'DP_Right_Capacity' but will be flagged as a pass-through account in the 'DP_PT_ Account_Flag' field.
569,A.,has TIN,987654321,FALSE,(No Change) A. --> 6578658 987654321 TIN BUS Anytown Broker 123 Main St
570,B.,has SSN,122333444,FALSE,(No Change) B. --> 1278658 122333444 SSN IND Marci Jones 3434 Virginia Ave
571,C.,has TIN,981234567,FALSE,(No Change) C. --> 6489649 981234567 TIN BUS XYZ Corporation 100 Dredging Rd
572,D.,has TIN,661234567,FALSE,(New) D. --> 661234567 661234567 TIN GOV Anywhere City 100 City Ave
573,E.,has SSN,333445555,FALSE,(New) E. --> 333445555 333445555 SSN IND John Smith 333 Adams Rd
574,Account Participant output file,will have,no records,FALSE,"Account participant information has not yet been provided by Anytown Broker, so the Account Participant output file will have no records."
575,B3,is related to,1278658 6789535353 SGL CDS 200000 200000 170000 30000,FALSE,(No Change)  B3 --> 1278658 6789535353 SGL CDS 200000 200000 170000 30000
576,B4,is related to,1278658 87345123907 SGL CDS 150000 150000 0 150000 Y,FALSE,(New) B4 --> 1278658 87345123907 SGL CDS 150000 150000 0 150000 Y
577,C1,is related to,6489649 2345535353 BUS DDA 200000 200000 200000 0,FALSE,(No Change) C1 --> 6489649 2345535353 BUS DDA 200000 200000 200000 0
578,C2,is related to,6489649 3456535353 BUS DDA 40000 40000 40000 0,FALSE,(No Change) C2 --> 6489649 3456535353 BUS DDA 40000 40000 40000 0
579,C3,is related to,6489649 87345123907 BUS CDS 100000 100000 10000 90000 Y,FALSE,(New) C3 --> 6489649 87345123907 BUS CDS 100000 100000 10000 90000 Y
580,"B4,C3",is related to,6578658 87345123907 CDS 250000 250000 10000 240000 Y,FALSE,"(New)  B4,C3 --> 6578658 87345123907 CDS 250000 250000 10000 240000 Y"
581,Marci Jones,is aggregated for,insurance determination,FALSE,"For Marci Jones, all the accounts in the single right and capacity category are aggregated for insurance determination."
582,Marci Jones and XYZ Corporation,is represented by,the aggregate interests of Marci Jones and XYZ Corporation in Anytown Broker’s account,FALSE,"One record, representing the aggregate interests of Marci Jones and XYZ Corporation in Anytown Broker’s account, for which the insurance determination is completed."
583,Anytown Broker,has account,Anytown Broker's account,FALSE,The record for Anytown Broker's account is updated to reflect the remaining balance for which an insurance determination cannot yet be made.
584,Anywhere City,has account,pass-through account with Anytown Broker,FALSE,A new record for Anywhere City's pass-through account with Anytown Broker is created in the Pending output file.
585,John Smith,is Trustee of,The Smith Family Trust,FALSE,A new record for John Smith’s account (as Trustee of The Smith Family Trust) with Anytown Broker is created in the Pending output file.
586,Anytown Broker,has CS_UNIQUE_ID,PT_Parent_Customer_ID,FALSE,with Anytown Broker's CS_UNIQUE_ID as the 'PT_Parent_Customer_ID'.
587,PT_Parent_Customer_ID,IS,Null,FALSE,"for those records where ""PT_Parent_Customer_ID"" IS Null"
